LMG35	WINRATE	NMATCHES	event	PWINRATE	WML20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500B	LMG35V2	LMAVGV2	COUNTERS3	WINRATE3	WMG35	WMAVG	DPC	HHHWR_SUM	HHHWR_AVG
0.0211	-25	20	lose	50	-0.4657	-75587565	-47	-9	3049455228	-25	5	-3	-6	-7	-20	-96	0.18	-25	29	647	0	-56	-28.0
-0.0875	-19	19	win	50	-0.4885	-5345658	-16	-6	3049534629	-19	4	1	-5	-4	-31	-191	-0.0838	-19	29	511	0	-22	-11.0
0.0875	19	-19	lose	50	0.4885	5345658	16	6	3049534629	19	-4	-1	5	4	31	191	0.0838	19	-29	-511	0	22	11.0
0.5	8	-8	win	50	0.25	-13085625	34	57	3049511735	8	-2	3	5	-1	39	952	0.338	8	17	-6	0	91	45.5
-0.5	-8	8	lose	50	-0.25	13085625	-34	-57	3049511735	-8	2	-3	-5	1	-39	-952	-0.338	-8	-17	6	0	-91	-45.5
0.025	-10	-31	win	50	0.0257	-133054880	-29	-12	3049522182	-17	1	-3	-2	-3	2	-13	0.6374	-3	6	130	0	-41	-20.5
-0.025	10	31	lose	50	-0.0257	133054880	29	12	3049522182	17	-1	3	2	3	-2	13	-0.6374	3	-6	-130	0	41	20.5
0.1011	-5	9	win	50	-0.0677	-91100781	5	-6	3049620265	0	-1	2	-4	-5	10	115	0.3801	6	14	246	0	-1	-0.5
-0.1011	5	-9	lose	50	0.0677	91100781	-5	6	3049620265	0	1	-2	4	5	-10	-115	-0.3801	-6	-14	-246	0	1	0.5
-0.0974	5	47	win	80	0.0116	-113019425	1	10	3049614252	4	-2	10	-1	5	-10	-150	-0.043	8	-3	-41	0	11	5.5
0.0974	-5	-47	lose	20	-0.0116	113019425	-1	-10	3049614252	-4	2	-10	1	-5	10	150	0.043	-8	3	41	0	-11	-5.5
0.105	12	8	win	50	-0.1192	-17776781	29	28	3049640628	22	-6	24	-1	2	10	195	0.0581	50	5	176	0	57	28.5
-0.105	-12	-8	lose	50	0.1192	17776781	-29	-28	3049640628	-22	6	-24	1	-2	-10	-195	-0.0581	-50	-5	-176	0	-57	-28.5
0.098	-2	-89	win	50	-0.0575	76831539	-6	-1	3049618571	-15	-1	9	-3	0	7	-113	0.3053	-15	7	169	0	-7	-3.5
-0.098	2	89	lose	50	0.0575	-76831539	6	1	3049618571	15	1	-9	3	0	-7	113	-0.3053	15	-7	-169	0	7	3.5
0.0332	-7	14	win	33	0.0191	-74626328	-7	-2	3049691147	-7	2	-3	-2	-7	4	-66	0.625	4	30	402	0	-9	-4.5
-0.0332	7	-14	lose	67	-0.0191	74626328	7	2	3049691147	7	-2	3	2	7	-4	66	-0.625	-4	-30	-402	0	9	4.5
-0.1161	11	-1	win	50	-0.0224	70241907	20	-9	3049689001	11	-2	10	1	3	-11	-80	0.2647	11	-4	-177	0	11	5.5
0.1161	-11	1	lose	50	0.0224	-70241907	-20	9	3049689001	-11	2	-10	-1	-3	11	80	-0.2647	-11	4	177	0	-11	-5.5
0.0	14	-14	win	75	-0.0325	18297856	-6	17	3049694152	10	-8	32	-1	0	0	-54	-0.2095	23	3	184	0	11	5.5
0.0	-14	14	lose	25	0.0325	-18297856	6	-17	3049694152	-10	8	-32	1	0	0	54	0.2095	-23	-3	-184	0	-11	-5.5
-0.3	-2	118	win	50	-0.0847	-66288542	-2	9	3049726406	10	3	-11	-1	7	-18	-517	-0.0234	10	3	-56	0	7	3.5
0.3	2	-118	lose	50	0.0847	66288542	2	-9	3049726406	-10	-3	11	1	-7	18	517	0.0234	-10	-3	56	0	-7	-3.5
-0.1958	3	171	win	78	0.0046	-27755270	-16	-12	3049710175	-2	1	-4	1	1	-17	-88	0.2586	1	-17	-247	0	-28	-14.0
0.1958	-3	-171	lose	22	-0.0046	27755270	16	12	3049710175	2	-1	4	-1	-1	17	88	-0.2586	-1	17	247	0	28	14.0
0.0896	6	165	win	71	-0.0099	-194264	6	15	3049709367	9	-1	4	1	4	9	175	0.3797	4	-3	-45	0	21	10.5
-0.0896	-6	-165	lose	29	0.0099	194264	-6	-15	3049709367	-9	1	-4	-1	-4	-9	-175	-0.3797	-4	3	45	0	-21	-10.5
0.1401	-5	161	win	54	-0.0236	-142756737	0	0	3049748374	-1	4	-16	1	2	15	147	-0.3105	7	6	-28	0	0	0.0
-0.1401	5	-161	lose	46	0.0236	142756737	0	0	3049748374	1	-4	16	-1	-2	-15	-147	0.3105	-7	-6	28	0	0	0.0
0.2843	16	5	win	50	0.0125	29021818	23	2	3049880539	14	0	0	2	10	27	407	0.5086	40	29	226	0	25	12.5
-0.2843	-16	-5	lose	50	-0.0125	-29021818	-23	-2	3049880539	-14	0	0	-2	-10	-27	-407	-0.5086	-40	-29	-226	0	-25	-12.5
0.0598	18	195	win	50	-0.0841	-131341238	25	17	3049909705	20	-1	5	-1	5	7	42	-0.0641	22	18	197	0	42	21.0
-0.0598	-18	-195	lose	50	0.0841	131341238	-25	-17	3049909705	-20	1	-5	1	-5	-7	-42	0.0641	-22	-18	-197	0	-42	-21.0
-0.097	-5	-87	win	50	-0.0009	-11574038	4	10	3049909521	-9	-2	9	1	-4	-10	57	-0.0228	-9	1	25	0	14	7.0
0.097	5	87	lose	50	0.0009	11574038	-4	-10	3049909521	9	2	-9	-1	4	10	-57	0.0228	9	-1	-25	0	-14	-7.0
0.0099	-4	121	win	36	0.0111	-100230561	9	-13	3050006147	-2	0	-2	-1	1	1	-84	0.7875	12	-8	4	0	-4	-2.0
-0.0099	4	-121	lose	64	-0.0111	100230561	-9	13	3050006147	2	0	2	1	-1	-1	84	-0.7875	-12	8	-4	0	4	2.0
0.0312	-3	179	win	70	0.0236	-113662778	-6	3	3049982574	-1	-1	11	0	-1	5	62	-0.084	-3	-13	-231	0	-3	-1.5
-0.0312	3	-179	lose	30	-0.0236	113662778	6	-3	3049982574	1	1	-11	0	1	-5	-62	0.084	3	13	231	0	3	1.5
-0.1111	1	89	win	33	0.0352	-76831539	4	-2	3050013723	13	1	-9	3	0	-9	123	0.1382	13	-8	-180	0	2	1.0
0.1111	-1	-89	lose	67	-0.0352	76831539	-4	2	3050013723	-13	-1	9	-3	0	9	-123	-0.1382	-13	8	180	0	-2	-1.0
0.1193	1	246	win	50	-0.0476	-132612301	-28	10	3050077557	-1	2	-11	0	-7	18	231	0.2341	-2	18	183	0	-18	-9.0
-0.1193	-1	-246	lose	50	0.0476	132612301	28	-10	3050077557	1	-2	11	0	7	-18	-231	-0.2341	2	-18	-183	0	18	9.0
0.0129	-2	179	win	73	0.0233	-113662778	-7	-13	3050099751	0	-1	12	0	-1	3	11	0.3074	-2	-13	-220	0	-20	-10.0
-0.0129	2	-179	lose	27	-0.0233	113662778	7	13	3050099751	0	1	-12	0	1	-3	-11	-0.3074	2	13	220	0	20	10.0
-0.0567	15	239	win	67	-0.0658	-22045019	14	16	3050172000	14	0	1	-2	3	-4	-84	-0.0297	10	4	-12	0	30	15.0
0.0567	-15	-239	lose	33	0.0658	22045019	-14	-16	3050172000	-14	0	-1	2	-3	4	84	0.0297	-10	-4	12	0	-30	-15.0
